4323;1.14;0.80;-9.62
4342;2.12;0.29;-10.48
4362;1.02;0.67;-9.89
4381;2.16;1.19;-10.65
4402;1.28;0.60;-10.23
4421;2.29;1.23;-10.44
4441;1.76;0.03;-10.27
4460;1.93;1.27;-10.61
4481;1.45;0.38;-9.96
4500;1.66;1.17;-10.12
4519;0.87;-0.02;-9.13
4539;1.09;1.37;-10.19
4559;1.25;0.24;-9.03
4579;1.58;1.11;-9.61
4598;2.26;0.35;-7.37
4618;0.83;1.18;-9.96
4637;2.66;0.79;-7.45
4660;1.45;0.71;-9.65
4679;1.85;1.25;-8.36
4699;1.12;1.31;-10.57
4719;2.45;0.53;-7.65
4739;1.51;0.57;-9.48
4758;2.28;1.14;-7.74
4777;1.65;0.85;-9.86
4797;2.76;1.02;-7.46
4817;1.24;0.69;-9.88
4837;2.37;1.03;-8.22
4856;1.47;1.01;-10.31
4876;2.64;0.89;-7.50
4895;1.17;0.28;-10.43
4916;1.96;1.59;-8.83
4971;1.86;0.52;-11.46
4990;3.61;0.25;-10.19
5010;2.41;-0.30;-11.57
5030;3.09;0.83;-10.72
5050;2.17;0.32;-11.49
5069;3.66;0.29;-10.63
5089;2.15;-0.76;-10.93
5111;3.11;0.46;-10.18
5132;1.58;0.58;-11.70
5151;3.01;1.57;-10.18
5171;2.30;0.72;-11.83
5190;2.81;0.90;-10.01
5211;1.49;0.76;-11.33
5230;2.80;1.76;-10.07
5250;2.35;-0.25;-11.63
5270;3.04;1.17;-10.50
5289;1.94;0.16;-11.27
5309;3.54;0.53;-10.53
5328;2.06;-0.06;-10.91
5349;2.38;0.77;-10.59
5368;1.61;-0.03;-10.01
5388;1.54;1.48;-9.50
5408;1.43;0.58;-7.73
5428;0.55;1.41;-9.56
5447;1.99;0.79;-7.72
5467;1.95;0.47;-9.29
5486;2.60;0.53;-7.66
5509;0.54;1.04;-9.55
5528;2.30;1.04;-7.37
5548;1.68;0.47;-9.25
5568;2.34;0.74;-7.40
5623;1.09;1.02;-11.37
5643;1.63;2.16;-9.45
5662;1.54;0.84;-11.16
5682;3.36;1.01;-9.03
5702;1.03;1.06;-11.35
5722;2.14;1.49;-9.10
5741;1.48;0.87;-11.12
5761;2.99;1.05;-8.60
5781;0.91;0.89;-11.05
5800;1.72;2.00;-9.71
5820;1.04;0.85;-11.26
5839;2.78;0.99;-8.94
5860;1.38;1.06;-11.38
5879;2.13;2.16;-10.09
5899;2.28;0.78;-12.35
5918;3.88;1.17;-9.52
5939;1.24;0.59;-11.49
5960;2.42;0.91;-7.79
5981;1.23;0.82;-9.68
6000;2.40;0.81;-7.46
6020;0.70;0.67;-9.38
6039;2.43;1.46;-7.63
6059;1.60;1.00;-9.44
6079;2.51;1.00;-7.78
6098;0.87;0.30;-9.62
6118;2.14;0.80;-8.14
6137;1.31;1.19;-10.27
6157;2.72;0.50;-7.77
6176;1.24;0.05;-9.95
6197;2.29;1.23;-8.99
6216;1.19;1.31;-10.56
6272;3.62;0.47;-10.08
6292;2.20;-0.59;-11.32
6311;3.01;0.74;-10.58
6331;1.73;0.13;-10.86
6350;1.77;1.73;-10.12
6371;1.32;0.67;-9.33
6390;1.43;1.28;-10.11
6413;1.52;0.39;-10.17
6432;1.77;1.53;-9.73
6452;1.56;0.43;-7.94
6471;0.56;1.54;-9.43
6491;1.46;0.42;-8.25
6510;1.77;0.53;-9.77
6531;1.73;1.20;-8.83
6550;1.48;1.38;-11.26
6569;3.20;0.58;-8.33
6589;1.39;0.45;-10.22
6609;2.00;1.06;-8.69
6629;1.22;1.24;-10.58
6648;3.06;1.07;-7.57
6668;1.30;1.01;-11.20
6687;1.48;1.73;-9.49
6708;1.38;1.41;-11.57
6727;2.68;0.92;-9.14
6747;1.56;0.30;-11.37
6766;3.31;1.56;-9.76
6786;1.97;0.14;-11.11
6806;2.60;0.43;-10.30
6828;1.90;0.84;-11.56
6848;3.67;0.21;-10.24
6903;1.20;0.64;-9.19
6923;1.61;0.91;-9.66
6942;2.59;0.46;-7.64
6963;1.14;0.95;-9.83
6982;2.53;1.02;-7.52
7002;1.83;0.40;-10.50
7021;1.68;0.66;-9.27
7041;2.19;0.15;-11.75
7061;2.52;0.43;-9.90
7080;1.42;0.37;-11.51
7100;1.63;1.35;-9.54
7119;1.83;0.40;-8.54
7140;1.33;1.11;-8.96
