Column1;Column2;Column3
17696;256;263
17721;256;264
17745;260;267
17770;261;262
17795;256;263
17819;256;267
17847;256;267
17871;260;263
17932;256;263
17956;256;267
17981;256;263
18006;256;263
18030;256;262
18055;256;267
18079;256;268
18104;256;264
18128;256;268
18153;256;264
18181;256;263
18205;256;263
18230;256;263
18254;259;267
18279;260;268
18304;260;262
18328;255;263
18353;260;262
18377;256;268
18402;257;263
18426;256;262
18451;256;268
18514;256;262
18539;256;267
18564;256;263
18588;256;268
18613;256;263
18637;260;263
18662;256;264
18686;256;263
18711;256;263
18736;256;263
18760;256;267
18785;256;264
18812;256;267
18837;256;263
18862;256;263
18886;256;268
18911;256;264
18935;256;264
18960;256;264
18984;256;268
19009;256;264
19034;256;263
19058;255;262
19083;256;263
19110;256;263
19135;256;264
19160;256;263
19184;256;263
19209;256;264
19233;256;263
19258;255;263
19282;256;268
19307;256;264
19332;259;267
19356;260;268
19381;256;263
19405;256;267
19468;256;262
19492;256;267
19517;256;268
19543;256;262
19567;256;268
19592;256;267
19616;256;262
19641;256;263
19665;256;263
19690;260;263
19715;260;263
19739;256;262
19766;256;263
19790;256;266
19815;256;266
19840;256;267
19864;255;263
19889;256;264
19913;260;263
19939;256;267
19963;260;263
19988;256;263
20013;256;263
20037;256;262
20064;256;262
20088;256;263
20149;256;263
20173;260;266
20198;256;267
20222;256;262
20247;256;268
20273;256;268
20297;256;263
20322;256;267
20346;256;263
20371;256;263
20398;256;267
20422;256;264
20447;256;263
20471;256;266
20496;256;263
20520;255;267
20545;256;262
20570;256;268
20594;255;263
20620;256;267
20644;256;267
20669;256;267
20696;260;268
20720;256;262
20745;256;262
20769;256;263
20794;256;263
20818;256;262
20843;256;262
20868;256;263
20892;256;264
20917;256;263
20977;256;264
21002;256;263
21026;256;264
21054;256;263
21079;256;263
21103;255;263
21128;256;262
21152;256;263
21177;256;262
21201;256;263
21226;256;262
21251;256;268
21275;256;267
21300;256;268
21325;256;268
21352;256;268
21377;256;262
21401;260;268
21426;256;263
21450;256;264
21475;256;262
21499;256;263
21524;256;267
21549;256;263
21573;256;264
21598;256;264
21622;259;262
21650;256;268
21675;256;264
21699;256;267
21724;256;268
21784;256;267
21809;256;267
21833;256;264
21858;256;267
21882;256;263
21907;256;263
21932;256;262
21956;256;264
21991;260;262
22018;256;263
22044;256;263
22071;256;263
22098;256;267
22125;256;263
22152;256;264
22178;260;267
22205;256;263
22232;256;267
22258;256;263
22285;256;268
22315;256;268
22341;256;266
22368;256;262
22394;256;263
22421;256;263
22449;256;263
22475;256;263
22538;256;268
22564;256;267
22591;256;268
22618;256;267
22644;256;267
22672;260;262
22701;260;262
22727;256;262
22754;256;262
22780;256;268
22808;260;262
22835;260;268
22861;255;267
22888;256;262
22915;256;262
22941;256;263
22968;256;262
22995;255;263
