Column1;Column2;Column3;Column4
6915;2.64;-0.46;18.73
6938;-2.09;-0.10;1.48
6960;6.01;-0.91;17.58
6981;-2.92;-0.75;4.75
7003;2.86;-0.85;17.31
7024;-2.70;-0.44;4.23
7046;5.22;-0.17;15.58
7067;5.53;0.31;14.28
7089;3.78;-0.39;13.81
7110;-2.48;-0.37;7.92
7132;5.19;-0.27;14.52
7153;-2.87;-0.98;7.98
7211;0.24;-1.10;16.88
7232;0.81;-0.79;2.04
7254;-1.40;-0.29;15.73
7275;1.96;-0.11;3.46
7297;-2.00;-1.54;13.77
7319;5.71;0.08;16.58
7340;-1.17;-0.95;12.28
7362;-0.29;-0.26;6.38
7384;-1.14;0.01;4.26
7407;1.31;-0.41;11.25
7429;0.58;-0.39;13.47
7450;1.28;-0.77;7.35
7472;-0.50;-0.68;13.04
7493;1.93;-0.30;8.83
7515;-1.77;-0.26;13.65
7536;2.12;0.10;15.56
7558;-2.43;-1.60;13.68
7579;2.72;0.08;6.10
7601;-2.01;-0.75;11.66
7622;2.34;0.08;17.36
7644;-3.40;0.00;6.74
7665;4.47;-0.02;17.40
7687;1.24;0.29;-0.83
7708;0.19;-1.12;20.63
7730;0.62;1.35;-0.74
7751;-3.71;-2.19;19.14
7774;5.90;-0.63;4.07
7795;-4.23;-2.16;12.94
7817;2.45;-0.03;12.64
7838;-0.94;-0.36;2.17
7898;-2.98;-1.55;13.61
7919;-1.13;0.89;9.98
7941;12.19;-0.29;3.68
7962;-9.10;-1.77;18.57
7984;5.81;2.22;0.57
8005;-0.10;-1.85;17.03
8027;-4.19;0.41;5.33
8048;5.38;-0.87;4.11
8070;-6.62;-0.60;9.93
8091;-0.65;-0.17;7.63
8113;8.00;-0.78;15.73
8134;-8.17;-0.74;2.08
8156;5.57;-0.28;17.60
8177;-1.37;0.19;4.76
8199;-5.19;-1.64;11.32
8220;3.02;0.08;14.20
8242;0.47;-0.43;6.15
8263;-2.61;-1.15;13.10
8285;4.06;-0.56;8.19
8306;-2.32;-0.86;10.79
8328;4.86;-1.02;10.17
8359;1.84;-0.54;7.83
8381;1.95;0.16;7.42
8402;0.58;-1.20;12.06
8424;-1.30;-0.00;9.19
8445;1.61;-0.39;9.03
8467;-0.46;-0.91;12.05
8488;-0.91;-0.13;7.48
8510;-3.39;-0.25;10.85
8531;6.00;-0.09;7.75
8553;-3.92;-0.27;13.95
8610;0.21;-0.45;13.80
8632;7.49;0.54;2.28
8653;-0.39;0.99;18.20
8675;-2.82;-2.45;18.22
8696;9.56;-0.64;16.19
8718;-7.49;-0.85;7.89
8739;5.73;-1.11;8.05
8761;-1.67;-1.05;13.86
8782;-3.31;-0.46;0.29
8804;4.95;-0.72;19.35
8828;-4.38;0.51;0.32
8850;5.16;-1.04;18.05
8871;-0.03;-0.54;6.05
8893;-2.45;-0.99;5.25
8914;2.62;-0.92;12.23
8936;4.35;-0.46;10.78
8957;-3.04;-0.56;10.74
8979;5.84;0.04;12.30
9000;-4.98;-1.12;8.43
9022;5.55;0.82;14.05
9043;-1.96;-1.21;6.82
9065;3.73;-0.36;14.98
9086;-2.36;-0.17;5.37
9108;4.05;0.04;15.25
9129;-2.16;-0.48;6.64
9151;4.58;-0.87;15.83
9172;-5.27;-0.21;7.76
9195;3.36;-0.50;9.95
9217;1.72;-0.85;7.96
9238;0.64;-0.90;6.47
9260;-0.83;-0.85;12.45
9319;4.96;-0.67;16.21
9340;-3.36;-0.66;10.47
9362;0.49;-0.00;7.36
9383;1.03;-0.95;11.80
9405;2.44;-1.23;-1.23
9426;4.73;-0.49;14.85
9448;-1.88;-0.63;6.12
9469;4.24;0.17;15.47
9491;-2.68;0.25;6.14
9512;4.24;0.04;14.04
9534;-0.11;0.40;5.33
9555;-50.18;-67.34;-63.74
9576;-3.51;-0.50;8.01
9597;0.90;-0.76;9.10
9619;-0.21;-1.25;10.83
9640;3.70;-0.36;15.25
9662;-0.34;-0.62;12.83
9684;-0.38;-0.02;5.30
9706;2.45;-0.22;15.09
9728;-1.90;-0.57;4.80
9751;5.50;-0.20;14.98
9773;-2.37;-0.59;6.69
9794;4.70;-0.13;13.92
9816;-3.44;-0.60;7.29
9837;3.45;0.29;11.91
9859;-1.67;-1.40;9.22
