3465;0.85;0.35;-9.86
3489;0.85;0.36;-9.86
3514;0.86;0.35;-9.87
3538;0.85;0.35;-9.90
3563;0.88;0.33;-9.87
3588;0.87;0.34;-9.86
3612;0.85;0.35;-9.87
3640;0.86;0.37;-9.87
3664;0.85;0.35;-9.85
3689;0.85;0.37;-9.84
3714;0.86;0.35;-9.86
3737;0.86;0.34;-9.85
3798;0.85;0.37;-9.88
3822;0.85;0.35;-9.87
3847;0.85;0.33;-9.84
3871;0.86;0.35;-9.85
3896;0.85;0.33;-9.85
3920;0.84;0.36;-9.85
3945;0.84;0.36;-9.87
3970;0.84;0.36;-9.86
3996;0.83;0.28;-9.91
4021;0.90;0.33;-9.79
4045;0.90;0.50;-9.87
4070;0.85;0.37;-9.87
4094;0.82;0.37;-9.92
4119;0.85;0.36;-9.83
4144;0.84;0.29;-9.86
4168;0.84;0.43;-9.77
4228;0.84;0.37;-9.84
4252;0.84;0.34;-9.87
4277;0.86;0.37;-9.85
4301;0.86;0.35;-9.86
4326;0.84;0.33;-9.86
4354;0.86;0.34;-9.87
4378;0.83;0.35;-9.84
4403;0.84;0.39;-9.86
4427;0.82;0.38;-9.87
4452;0.81;0.34;-9.87
4476;0.85;0.36;-9.85
4501;0.85;0.35;-9.84
4526;0.87;0.34;-9.87
4550;0.84;0.35;-9.88
4574;0.85;0.35;-9.88
4598;0.85;0.34;-9.85
4623;0.86;0.35;-9.85
4647;0.86;0.35;-9.85
4670;0.85;0.36;-9.84
4695;0.85;0.36;-9.85
4719;0.84;0.37;-9.84
4744;0.85;0.36;-9.85
4768;0.85;0.37;-9.86
4793;0.84;0.36;-9.87
4817;0.85;0.35;-9.88
4842;0.85;0.39;-9.88
4867;0.86;0.37;-9.85
4891;0.86;0.40;-9.87
4916;0.83;0.39;-9.84
4940;0.83;0.37;-9.85
4968;0.85;0.37;-9.84
4992;0.84;0.36;-9.86
5016;0.84;0.37;-9.89
5041;0.85;0.37;-9.84
5065;0.83;0.36;-9.89
5090;0.82;0.36;-9.86
5114;0.84;0.37;-9.87
5139;0.83;0.37;-9.84
5164;0.79;0.36;-9.84
5188;0.82;0.37;-9.85
5213;0.82;0.35;-9.84
5237;0.80;0.34;-9.87
5262;0.83;0.34;-9.86
5288;0.84;0.36;-9.86
5313;0.88;0.35;-9.86
5338;0.86;0.36;-9.86
5362;0.86;0.37;-9.86
5423;0.87;0.37;-9.86
5447;0.85;0.36;-9.85
5472;0.86;0.37;-9.89
5496;0.85;0.38;-9.89
5521;0.85;0.40;-9.89
5545;0.82;0.38;-9.89
5570;0.82;0.38;-9.85
5595;0.82;0.38;-9.80
5619;0.84;0.39;-9.83
5646;0.83;0.38;-9.84
5670;0.84;0.40;-9.86
5695;0.84;0.40;-9.87
5755;0.85;0.40;-9.88
5780;0.84;0.41;-9.89
5805;0.83;0.41;-9.87
5829;0.80;0.40;-9.82
5854;0.78;0.37;-9.80
5878;0.78;0.37;-9.79
5903;0.78;0.34;-9.83
5927;0.80;0.37;-9.84
5952;0.79;0.35;-9.86
5977;0.80;0.35;-9.89
6003;0.81;0.34;-9.87
6028;0.82;0.34;-9.87
6052;0.81;0.33;-9.81
6077;0.80;0.32;-9.83
6102;0.83;0.28;-9.88
6126;0.83;0.29;-9.89
6151;0.82;0.30;-9.85
6175;0.84;0.33;-9.84
6200;0.84;0.37;-9.80
6224;0.88;0.40;-9.84
6249;0.84;0.41;-9.91
6273;0.83;0.38;-9.86
6297;0.84;0.43;-9.86
6320;0.83;0.41;-9.88
6344;0.82;0.43;-9.86
6369;0.88;0.41;-9.85
6393;0.84;0.42;-9.84
6418;0.89;0.44;-9.80
6443;0.86;0.41;-9.86
6467;0.85;0.42;-9.91
6492;0.88;0.40;-9.92
6516;0.89;0.41;-9.94
6541;0.86;0.40;-9.89
6565;0.82;0.38;-9.87
6590;0.83;0.36;-9.83
6617;0.85;0.35;-9.84
6641;0.85;0.34;-9.84
6666;0.81;0.34;-9.83
6690;0.83;0.32;-9.88
6715;0.82;0.35;-9.89
6739;0.82;0.33;-9.86
6764;0.82;0.35;-9.88
6789;0.82;0.33;-9.84
6813;0.83;0.34;-9.77
6838;0.81;0.33;-9.81
6862;0.81;0.34;-9.84
6886;0.84;0.33;-9.86
6910;0.85;0.34;-9.90
6938;0.83;0.35;-9.87
6963;0.81;0.34;-9.84
6987;0.81;0.37;-9.81
7048;0.80;0.36;-9.80
7072;0.80;0.36;-9.86
7097;0.83;0.36;-9.89
7120;0.83;0.40;-9.91
7146;0.85;0.39;-9.87
7170;0.83;0.39;-9.86
7194;0.83;0.42;-9.87
7219;0.82;0.42;-9.87
7243;0.87;0.40;-9.86
7304;0.87;0.39;-9.90
7331;0.83;0.38;-9.89
7356;0.85;0.37;-9.88
7380;0.81;0.38;-9.85
7405;0.85;0.38;-9.86
7430;0.83;0.38;-9.85
7454;0.83;0.38;-9.86
7479;0.85;0.36;-9.85
7503;0.85;0.35;-9.91
7528;0.89;0.34;-9.90
7553;0.88;0.34;-9.89
7577;0.87;0.35;-9.88
7602;0.87;0.34;-9.90
7625;0.84;0.34;-9.86
